wallet: 586454053; money: 96
wallet: 1417215607; money: 50
wallet: 2092159397; money: 8
wallet: 1067549921; money: 98
wallet: 4057886468; money: 48
wallet: 3756579060; money: 63
wallet: 852427838; money: 6
wallet: 3492063831; money: 30
wallet: 1238332822; money: 54
wallet: 4252379740; money: 70
wallet: 3755540993; money: 71
wallet: 2999702474; money: 6
wallet: 3585536262; money: 67
wallet: 13446620; money: 45
wallet: 2607978444; money: 84
wallet: 3674994532; money: 81
wallet: 1324866677; money: 59
wallet: 3062765802; money: 59
wallet: 4139564096; money: 46
wallet: 2915029727; money: 86
wallet: 778664380; money: 16
wallet: 1426887498; money: 42
wallet: 4165650945; money: 24
wallet: 2469519877; money: 32
wallet: 3092632572; money: 17
wallet: 2795214823; money: 64
wallet: 3619512941; money: 28
wallet: 3726844370; money: 82
wallet: 3678461841; money: 27
wallet: 2310660184; money: 39
wallet: 2806416722; money: 5
wallet: 2866122255; money: 72
wallet: 3616938009; money: 23
wallet: 1242605862; money: 31
wallet: 3328629638; money: 87
wallet: 4137098813; money: 68
wallet: 1361922059; money: 3
wallet: 1081958763; money: 43
wallet: 1193499057; money: 8
wallet: 584674834; money: 20
